SP/SM,Num SM,Cluster ID,Data (Transfer) Size (in Bytes),Ratio of Global Access,Ratio of FP Instructions,Ratio of Branch Inst,Speedup,Num Blocks,Num Threads,Application Name,PCIe Bandwidth,Class
64,68,2,81920000,0.02,0.34,0.03,1538.461538,100,1024,Matmul,4,High
64,68,2,2048000000,0.02,0.34,0.03,1558.927458,500,1024,Matmul,4,High
128,24,4,20480000,0.02,0.34,0.03,1666.666667,50,1024,Matmul,15.75,High
128,24,4,81920000,0.02,0.34,0.03,1690.140845,100,1024,Matmul,15.75,High
128,24,4,2048000000,0.02,0.34,0.03,1811.375438,500,1024,Matmul,15.75,High
128,24,4,327680000,0.02,0.34,0.03,1825.095057,200,1024,Matmul,15.75,High
64,68,2,20480000,0.02,0.34,0.03,1875,50,1024,Matmul,4,High
64,80,3,81920000,0.02,0.34,0.03,6315.789474,100,1024,Matmul,4,High
64,80,3,327680000,0.02,0.34,0.03,6760.56338,200,1024,Matmul,4,High
64,80,3,2048000000,0.02,0.34,0.03,6768.953069,500,1024,Matmul,4,High
64,80,3,20480000,0.02,0.34,0.03,7500,50,1024,Matmul,4,High
192,15,1,20480000,0.02,0.34,0.03,9375,50,1024,Matmul,4,High
